Date,MPS,MPU
6/30/1996,4.037455662,87
9/30/1996,5.718366977,147
12/31/1996,44.85601963,76
3/31/1997,10.66531764,88
6/30/1997,9.061945423,87
9/30/1997,7.715281337,56
12/31/1997,88.91681949,104
3/31/1998,20.03056254,113
6/30/1998,61.81416439,94
9/30/1998,111.9433324,140
12/31/1998,43.98302799,125
3/31/1999,3.162838949,102
6/30/1999,3.471892699,96
9/30/1999,69.83183907,96
12/31/1999,3.036903472,101
3/31/2000,4.684810936,74
6/30/2000,38.5622962,118
9/30/2000,74.01246293,65
12/31/2000,50.05110212,164
3/31/2001,77.6545385,132
6/30/2001,47.04427828,110
9/30/2001,37.05429223,156
12/31/2001,24.20670007,181
3/31/2002,5.05985573,94
6/30/2002,2.940640307,119
9/30/2002,13.95776442,128
12/31/2002,36.17640597,177
3/31/2003,23.63533464,246
6/30/2003,30.7046335,126
9/30/2003,75.77304683,57
12/31/2003,74.21703137,47
3/31/2004,74.89656706,66
6/30/2004,46.99897185,124
9/30/2004,64.12156395,105
12/31/2004,43.66093847,119
3/31/2005,45.83408175,61
6/30/2005,41.53967654,99
9/30/2005,74.05537953,110
12/31/2005,63.57441606,102
3/31/2006,117.6263762,97
6/30/2006,82.24936559,123
9/30/2006,100.3526434,133
12/31/2006,29.08379666,68
3/31/2007,83.48339697,75
6/30/2007,65.00539876,77
9/30/2007,55.35949206,114
12/31/2007,54.7931118,156
3/31/2008,79.510242,105
6/30/2008,55.42262433,70
9/30/2008,89.40404559,93
12/31/2008,67.52756292,67
3/31/2009,77.7208924,48
6/30/2009,52.42918275,56
9/30/2009,59.75743358,48
12/31/2009,65.11795482,67
3/31/2010,36.2304949,85
6/30/2010,25.80412279,73
9/30/2010,3.257003311,144
12/31/2010,0.952969807,114
3/31/2011,38.39581199,67
6/30/2011,0.895233809,60
9/30/2011,0.925746922,121
12/31/2011,41.34269919,86
3/31/2012,0.370575308,85
6/30/2012,77.16697357,86
9/30/2012,39.00991235,89
12/31/2012,36.54654413,107
3/31/2013,97.08945286,83
6/30/2013,36.56532641,102
9/30/2013,34.89935804,99
12/31/2013,38.44228104,113
3/31/2014,46.83764162,104
6/30/2014,19.93782226,85
9/30/2014,93.17319248,104
12/31/2014,66.57460863,65
3/31/2015,55.98785203,154
6/30/2015,0.439387912,110
9/30/2015,73.0845057,217
12/31/2015,17.7583555,136
3/31/2016,0.832688462,171
6/30/2016,0.664430132,177
9/30/2016,74.43888893,160
12/31/2016,39.38341641,190
3/31/2017,38.16898662,155
6/30/2017,0.741493879,119
9/30/2017,41.44846633,134
12/31/2017,0.748272985,86
3/31/2018,97.55088412,112
6/30/2018,67.15504302,113
9/30/2018,109.8917416,118
12/31/2018,60.64859836,209
3/31/2019,94.04826978,224
6/30/2019,57.66159389,199
9/30/2019,91.0889519,348
12/31/2019,81.82705085,303
3/31/2020,1.62918946,211
6/30/2020,2.178598378,116
9/30/2020,60.13464449,158
12/31/2020,1.658358341,100
3/31/2021,27.58692081,127
6/30/2021,1.785190272,112
9/30/2021,3.325001302,170
12/31/2021,26.36374523,184
3/31/2022,60.23043331,291
6/30/2022,129.3096831,256
9/30/2022,49.71836059,248
12/31/2022,68.69197618,231
3/31/2023,22.80972484,211
6/30/2023,44.7869253,255
9/30/2023,1.174568515,152
12/31/2023,13.82342796,195
3/31/2024,28.71156382,110
6/30/2024,22.69878009,144
