date,gdp,pce,inv,fed,mps
7/1/1996,11914.0630,69.3420,1789.5650,5.2433,4.0375
10/1/1996,12037.7750,69.8150,1787.1900,5.3067,5.7184
1/1/1997,12115.4720,70.1240,1823.2550,5.2800,44.8560
4/1/1997,12317.2210,70.3000,1935.1570,5.2767,10.6653
7/1/1997,12471.0100,70.4850,1962.0530,5.5233,9.0619
10/1/1997,12577.4950,70.7070,1990.8600,5.5333,7.7153
1/1/1998,12703.7420,70.7130,2078.2050,5.5067,88.9168
4/1/1998,12821.3390,70.8400,2065.3360,5.5200,20.0306
7/1/1998,12982.7520,71.0580,2118.9890,5.5000,61.8142
10/1/1998,13191.6700,71.2450,2183.3820,5.5333,111.9433
1/1/1999,13315.5970,71.3840,2243.5480,4.8600,43.9830
4/1/1999,13426.7480,71.7890,2244.6820,4.7333,3.1628
7/1/1999,13604.7710,72.1830,2306.4700,4.7467,3.4719
10/1/1999,13827.9800,72.6220,2367.9880,5.0933,69.8318
1/1/2000,13878.1470,73.2120,2351.2230,5.3067,3.0369
4/1/2000,14130.9080,73.5620,2490.5010,5.6767,4.6848
7/1/2000,14145.3120,74.0370,2466.3750,6.2733,38.5623
10/1/2000,14229.7650,74.4570,2471.5340,6.5200,74.0125
1/1/2001,14183.1200,75.0110,2358.9690,6.4733,50.0511
4/1/2001,14271.6940,75.3630,2362.6520,5.5933,77.6545
7/1/2001,14214.5160,75.4010,2311.4090,4.3267,47.0443
10/1/2001,14253.5740,75.4310,2196.5540,3.4967,37.0543
1/1/2002,14372.7850,75.5820,2262.0710,2.1333,24.2067
4/1/2002,14460.8480,76.1420,2298.9390,1.7333,5.0599
7/1/2002,14519.6330,76.5350,2295.9830,1.7500,2.9406
10/1/2002,14537.5800,76.8920,2293.7460,1.7400,13.9578
1/1/2003,14614.1410,77.4800,2312.4650,1.4433,36.1764
4/1/2003,14743.5670,77.5570,2327.4920,1.2500,23.6353
7/1/2003,14988.7820,78.0680,2411.6380,1.2467,30.7046
10/1/2003,15162.7600,78.4510,2493.9280,1.0167,75.7730
1/1/2004,15248.6800,79.0560,2498.1400,0.9967,74.2170
4/1/2004,15366.8500,79.5870,2597.5070,1.0033,74.8966
7/1/2004,15512.6190,79.9790,2638.6720,1.0100,46.9990
10/1/2004,15670.8800,80.6620,2693.5750,1.4333,64.1216
1/1/2005,15844.7270,81.1310,2769.2610,1.9500,43.6609
4/1/2005,15922.7820,81.6440,2733.2250,2.4700,45.8341
7/1/2005,16047.5870,82.5260,2769.1060,2.9433,41.5397
10/1/2005,16136.7340,83.1840,2857.3500,3.4600,74.0554
1/1/2006,16353.8350,83.6170,2899.2290,3.9800,63.5744
4/1/2006,16396.1510,84.3520,2882.5640,4.4567,117.6264
7/1/2006,16420.7380,84.9590,2871.5890,4.9067,82.2494
10/1/2006,16561.8660,84.8180,2818.2280,5.2467,100.3526
1/1/2007,16611.6900,85.5930,2800.0370,5.2467,29.0838
4/1/2007,16713.3140,86.3190,2827.0100,5.2567,83.4834
7/1/2007,16809.5870,86.8080,2794.5260,5.2500,65.0054
10/1/2007,16915.1910,87.6910,2762.5180,5.0733,55.3595
1/1/2008,16843.0030,88.4070,2686.9980,4.4967,54.7931
4/1/2008,16943.2910,89.2690,2641.8500,3.1767,79.5102
7/1/2008,16854.2950,90.2220,2589.2540,2.0867,55.4226
10/1/2008,16485.3500,88.7810,2338.9380,1.9400,89.4040
1/1/2009,16298.2620,88.1810,2073.1350,0.5067,67.5276
4/1/2009,16269.1450,88.5310,1952.6410,0.1833,77.7209
7/1/2009,16326.2810,89.1410,1946.8670,0.1800,52.4292
10/1/2009,16502.7540,89.8280,2128.5160,0.1567,59.7574
1/1/2010,16582.7100,90.1750,2174.3350,0.1200,65.1180
4/1/2010,16743.1620,90.3140,2288.4690,0.1333,36.2305
7/1/2010,16872.2660,90.4880,2390.0720,0.1933,25.8041
10/1/2010,16960.8640,91.0680,2383.2970,0.1867,3.2570
1/1/2011,16920.6320,91.8330,2338.9010,0.1867,0.9530
4/1/2011,17035.1140,92.7370,2434.5380,0.1567,38.3958
7/1/2011,17031.3130,93.1660,2445.2960,0.0933,0.8952
10/1/2011,17222.5830,93.4740,2633.8290,0.0833,0.9257
1/1/2012,17367.0100,94.0930,2692.1790,0.0733,41.3427
4/1/2012,17444.5250,94.3200,2752.6140,0.1033,0.3706
7/1/2012,17469.6500,94.5940,2759.8600,0.1533,77.1670
10/1/2012,17489.8520,95.1240,2736.4230,0.1433,39.0099
1/1/2013,17662.4000,95.4580,2845.3800,0.1600,36.5465
4/1/2013,17709.6710,95.5060,2882.4890,0.1433,97.0895
7/1/2013,17860.4500,95.8990,2998.9910,0.1167,36.5653
10/1/2013,18016.1470,96.2520,3027.8050,0.0833,34.8994
1/1/2014,17953.9740,96.6940,2998.1480,0.0867,38.4423
4/1/2014,18185.9110,97.1260,3121.3210,0.0733,46.8376
7/1/2014,18406.9410,97.3920,3193.1520,0.0933,19.9378
10/1/2014,18500.0310,97.2630,3203.3510,0.0900,93.1732
1/1/2015,18666.6210,96.8270,3314.8950,0.1000,66.5746
4/1/2015,18782.2430,97.3110,3328.0490,0.1100,55.9879
7/1/2015,18857.4180,97.5630,3335.2700,0.1233,0.4394
10/1/2015,18892.2060,97.4880,3315.3340,0.1367,73.0845
1/1/2016,19001.6900,97.5350,3301.0900,0.1600,17.7584
4/1/2016,19062.7090,98.1540,3287.0330,0.3600,0.8327
7/1/2016,19197.9380,98.4920,3301.0790,0.3733,0.6644
10/1/2016,19304.3520,98.9430,3391.7490,0.3967,74.4389
1/1/2017,19398.3430,99.5200,3382.7030,0.4500,39.3834
4/1/2017,19506.9490,99.7200,3435.9290,0.7000,38.1690
7/1/2017,19660.7660,100.0730,3493.1660,0.9500,0.7415
10/1/2017,19882.3520,100.6720,3558.8590,1.1533,41.4485
1/1/2018,20044.0770,101.3770,3612.9360,1.2033,0.7483
4/1/2018,20150.4760,101.9100,3612.3890,1.4467,97.5509
7/1/2018,20276.1540,102.2520,3722.2480,1.7367,67.1550
10/1/2018,20304.8740,102.6400,3724.7520,1.9233,109.8917
1/1/2019,20431.6410,102.8480,3755.5300,2.2200,60.6486
4/1/2019,20602.2750,103.4230,3790.0490,2.4033,94.0483
7/1/2019,20843.3220,103.6700,3819.9400,2.3967,57.6616
10/1/2019,20985.4480,104.0760,3770.4310,2.1900,91.0890
1/1/2020,20693.2380,104.3950,3673.8420,1.6433,81.8271
4/1/2020,19056.6170,103.9750,3162.9760,1.2600,1.6292
7/1/2020,20548.7930,104.8140,3747.7250,0.0600,2.1786
10/1/2020,20771.6910,105.3160,3863.8350,0.0933,60.1346
1/1/2021,21058.3790,106.4960,3840.2280,0.0900,1.6584
4/1/2021,21389.0050,108.1520,3777.7190,0.0800,27.5869
7/1/2021,21571.4210,109.6460,3923.1930,0.0700,1.7852
10/1/2021,21960.3880,111.4610,4175.6700,0.0900,3.3250
1/1/2022,21903.8500,113.5670,4250.6990,0.0800,26.3637
4/1/2022,21919.2220,115.6630,4156.7900,0.1200,60.2304
7/1/2022,22066.7840,117.0100,4096.0150,0.7700,129.3097
10/1/2022,22249.4590,118.1690,4153.8170,2.1900,49.7184
1/1/2023,22403.4350,119.3160,4058.1150,3.6533,68.6920
4/1/2023,22539.4180,120.1770,4136.6320,4.5167,22.8097
7/1/2023,22780.9330,120.9780,4237.3030,4.9900,44.7869
10/1/2023,22960.6000,121.4730,4244.8350,5.2600,1.1746
1/1/2024,23053.5450,122.5010,4282.5150,5.3300,13.8234
4/1/2024,23223.9060,123.2690,4369.1850,5.3300,28.7116
7/1/2024,23400.2940,123.7410,4377.7360,5.3300,22.6988
,,,,,
,,,,,
,,,,,
